Qualcomm; руководитель отдела по работе с клиентами;49600
AutoNation;консультант по продажам B2B;51200
PeterKiewitSons;разработчик баз данных;47200
GeneralMills;менеджер строительных проектов;44800
WesternDigital;менеджер по социальным сетям;48000
PNCFinancialServicesGroup;Instructional Designer;48000
FarmersInsuranceExchange;контент-стратег;48800
CIMICGroup;координатор обучения;52000
AlibabaHealthInformationTechnology;Координатор по подбору персонала;52000
Exelon; Java бэкэнд разработчик;50400
SAPSE;руководитель группы продаж;51200
IBM(InternationalBusinessMachinesCorporation);детский логопед;50400
FidelityInvestments;инженер по большим данным;44000
IntercontinentalExchange;инженер по базам данных NoSQL;50400
PowerGridCorporationofIndia;планировщик спроса;44800
ConsolidatedEdison;свадебный дизайнер;48000
NorthropGrumman;организатор мероприятий;48000
Corteva;техник по поддержке настольных компьютеров;48000
Colgate-Palmolive;гериатрическая медсестра-практикант;49600
SFExpress;JavaScript разработчик;46400
Dover;координатор закупок;47200
LendleaseGroup;инженер по большим данным;52000
AsburyAutomotiveGroup;Специалист по планированию перевозок;45600
TDAmeritradeHoldingCorporation;менеджер по работе с ключевыми клиентами;52000
BritanniaIndustries;логопед для взрослых;45600
MuthootFinance;Координатор льгот;44800
Dana;дизайнер интерьера;49600
Aflac;инвестиционный аналитик;44800
QuantaServices;менеджер кампаний по электронной почте;44800
AshteadGroup;специалист по устойчивому развитию;48800
GlenmarkPharmaceuticals; Разработчик серверных приложений;48000
EastmanChemical;системный администратор;46400
CarnivalCorporation&plc;инженер-проектировщик;48000
AdaniGreenEnergy;координатор маркетинговых исследований;50400
FiatChryslerAutomobilesN.V.;Менеджер по работе с клиентами;44800
Газировка;Дизайнер по охране окружающей среды;48800
BYDCompany;менеджер по работе с клиентами;48000
DeltaAirLines;Дизайнер пользовательского интерфейса;49600
KinderMorgan;IT бизнес-аналитик;50400
WorkspaceGroup;аналитик социальных сетей;44800
CDW;Дизайнер пользовательского интерфейса;48000
Halma;юрист по вопросам опеки над детьми;52000
AES;архитектор проектов;48800
LKQ;дизайнер взаимодействия;48800
Salesforce;юрист по опеке над детьми;47200
SiemensIndia;юридический секретарь;47200
NextEraEnergy;Бренд-менеджер по продукции;52000
Computacenter;аналитик по контролю качества;48000
ВК; Специалист по анализу данных;52000
Hershey;Sales Account Executive;47200
TAGImmobilienAG;инженер по системам электропитания;52000
Блок;Специалист по сетевой безопасности;50400
Lindeplc; Менеджер по работе с клиентами;44800
Nucor;дизайнер коммерческого интерьера;47200
GreeElectricAppliances;консультант по работе с зависимыми людьми;44800
DCPMidstream;архитектор облачных вычислений;47200
BalfourBeatty;бизнес-аналитик данных;48000
AmeripriseFinancial;координатор цепочки поставок;44800
Банковскаягруппа;разработчик мобильных приложений;47200
MetLife;директор по уходу за больными;48000
AmericanTower;ветеринар мелких животных;52000
ExpediaGroup;инженер-химик;49600
ArcherDanielsMidland;аналитик по исследованию рынка;49600
SteelDynamics;менеджер по инфраструктуре;45600
Playtech;Аналитик по логистике;44000
UberTechnologies;менеджер ИТ-проектов;48800
Графическаяупаковка;менеджер по контролю качества;51200
JubilantFoodworks;Менеджер по работе с клиентами;52000
AGCO; Веб-разработчик;50400
Diageo;разработчик баз данных;48800
EversourceEnergy;специалист по продажам медицинских услуг;44000
Аэрофлот;офисный координатор;44800
Avantor;дизайнер взаимодействия;44000
Здоровье;дизайнер взаимодействия;45600
BHEL;представитель по внутренним продажам;44800
MarathonOil;испытатель автоматики;47200
GeelyAutomobileHoldings;Дизайнер пользовательского интерфейса;48800
Williams;менеджер по работе с клиентами;49600
SunPharmaceuticalIndustries;менеджер по обеспечению качества обслуживания;45600
BurberryGroup;тестировщик производительности;47200
